[2026-06-01T23:08:40] final audit runner start
[2026-06-02T00:33:26] reuse completed nest_l1_reversal_ridge_market_cap
[2026-06-02T00:33:26] reuse completed nest_l1_momentum_equal_market_cap
[2026-06-02T00:33:26] reuse completed nest_l1_momentum_icir_market_cap
[2026-06-02T00:33:26] reuse completed nest_l1_momentum_ridge_market_cap
[2026-06-02T00:33:26] reuse completed nest_l1_microstructure_equal_market_cap
[2026-06-02T00:33:26] reuse completed nest_l1_microstructure_icir_market_cap
[2026-06-02T00:33:26] run nest_l1_microstructure_ridge_market_cap n=5 method=ridge neutralize=market_cap
[2026-06-02T00:38:37] done nest_l1_microstructure_ridge_market_cap success=True valid=5/5 sharpe=2.819
[2026-06-02T00:38:37] run nest_l1_liquidity_equal_market_cap n=5 method=equal neutralize=market_cap
[2026-06-02T00:38:55] done nest_l1_liquidity_equal_market_cap success=True valid=5/5 sharpe=6.252
[2026-06-02T00:38:55] run nest_l1_liquidity_icir_market_cap n=5 method=icir neutralize=market_cap
[2026-06-02T00:39:24] done nest_l1_liquidity_icir_market_cap success=True valid=5/5 sharpe=4.224
[2026-06-02T00:39:24] run nest_l1_liquidity_ridge_market_cap n=5 method=ridge neutralize=market_cap
[2026-06-02T00:39:55] done nest_l1_liquidity_ridge_market_cap success=True valid=5/5 sharpe=5.722
[2026-06-02T00:39:55] run nest_l1_volatility_equal_market_cap n=5 method=equal neutralize=market_cap
[2026-06-02T00:40:20] fatal ConnectionResetError: [WinError 10054] 远程主机强迫关闭了一个现有的连接。
[2026-06-02T00:40:24] final audit runner start
